Time-Stamp, Data-Prefix, Data-Size, OutputStream, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk
2023-09-26 13:47:30.6, zfkd_, 60000_, test_zfkd_2.txt, 2, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:35.613, zfkd_, 60000_, test_zfkd_2.txt, 2, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:40.917, zfkd_, 60000_, test_zfkd_2.txt, 2, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:45.872, zfkd_, 60000_, test_zfkd_2.txt, 3, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:53.119, zfkd_, 60000_, test_zfkd_2.txt, 3, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:59.901, zfkd_, 60000_, test_zfkd_2.txt, 3, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:48:05.153, zfkd_, 60000_, test_zfkd_2.txt, 4, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:48:10.452, zfkd_, 60000_, test_zfkd_2.txt, 4, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:48:15.018, zfkd_, 60000_, test_zfkd_2.txt, 4, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:48:19.433, zfkd_, 60000_, test_zfkd_2.txt, 5, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:48:25.307, zfkd_, 60000_, test_zfkd_2.txt, 5, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:48:29.906, zfkd_, 60000_, test_zfkd_2.txt, 5, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:12:22.034, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:12:27.668, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:28:24.636, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:32:55.412, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:35:01.784, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:35:05.113, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:35:08.216, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:35:11.194, zfkd_, 60000_, test_zfkd_2.txt, 1, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:35:14.345, zfkd_, 60000_, test_zfkd_2.txt, 1, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:35:18.309, zfkd_, 60000_, test_zfkd_2.txt, 1, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:38:24.249, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:38:27.382, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:38:30.386, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:38:33.253, zfkd_, 60000_, test_zfkd_2.txt, 1, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:38:35.877, zfkd_, 60000_, test_zfkd_2.txt, 1, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:38:39.156, zfkd_, 60000_, test_zfkd_2.txt, 1, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:38:41.842, zfkd_, 60000_, test_zfkd_2.txt, 2, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:38:45.744, zfkd_, 60000_, test_zfkd_2.txt, 2, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:10.553, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:15.155, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:19.172, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:22.53, zfkd_, 60000_, test_zfkd_2.txt, 1, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:25.988, zfkd_, 60000_, test_zfkd_2.txt, 1, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:29.343, zfkd_, 60000_, test_zfkd_2.txt, 1, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:32.751, zfkd_, 60000_, test_zfkd_2.txt, 2, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:36.177, zfkd_, 60000_, test_zfkd_2.txt, 2, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:40.351, zfkd_, 60000_, test_zfkd_2.txt, 2, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:44.01, zfkd_, 60000_, test_zfkd_2.txt, 3, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:47.343, zfkd_, 60000_, test_zfkd_2.txt, 3, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:50.548, zfkd_, 60000_, test_zfkd_2.txt, 3, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:54.889, zfkd_, 60000_, test_zfkd_2.txt, 4, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:40:58.883, zfkd_, 60000_, test_zfkd_2.txt, 4, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:49:25.687, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:49:29.074, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:49:32.192, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:49:35.126, zfkd_, 60000_, test_zfkd_2.txt, 1, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:49:38.28, zfkd_, 60000_, test_zfkd_2.txt, 1, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:49:42.13, zfkd_, 60000_, test_zfkd_2.txt, 1, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:49:45.173, zfkd_, 60000_, test_zfkd_2.txt, 2, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:49:48.174, zfkd_, 60000_, test_zfkd_2.txt, 2, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 14:56:45.773, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:46.408, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:46.96, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:47.306, zfkd_, 60000_, test_zfkd_2.txt, 1, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:47.726, zfkd_, 60000_, test_zfkd_2.txt, 1, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:48.06, zfkd_, 60000_, test_zfkd_2.txt, 1, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:48.375, zfkd_, 60000_, test_zfkd_2.txt, 2, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:48.761, zfkd_, 60000_, test_zfkd_2.txt, 2, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:49.203, zfkd_, 60000_, test_zfkd_2.txt, 2, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:49.584, zfkd_, 60000_, test_zfkd_2.txt, 3, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:49.775, zfkd_, 60000_, test_zfkd_2.txt, 3, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:50.408, zfkd_, 60000_, test_zfkd_2.txt, 3, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:50.816, zfkd_, 60000_, test_zfkd_2.txt, 4, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:51.091, zfkd_, 60000_, test_zfkd_2.txt, 4, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:51.588, zfkd_, 60000_, test_zfkd_2.txt, 4, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:52.019, zfkd_, 60000_, test_zfkd_2.txt, 5, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:52.745, zfkd_, 60000_, test_zfkd_2.txt, 5, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-26 14:56:53.389, zfkd_, 60000_, test_zfkd_2.txt, 5, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:47.342, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:47.776, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:48.705, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:49.239, zfkd_, 60000_, test_zfkd_2.txt, 1, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:49.795, zfkd_, 60000_, test_zfkd_2.txt, 1, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:50.116, zfkd_, 60000_, test_zfkd_2.txt, 1, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:50.554, zfkd_, 60000_, test_zfkd_2.txt, 2, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:50.85, zfkd_, 60000_, test_zfkd_2.txt, 2, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:51.221, zfkd_, 60000_, test_zfkd_2.txt, 2, 2, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:51.716, zfkd_, 60000_, test_zfkd_2.txt, 3, 0, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
2023-09-27 08:49:52.111, zfkd_, 60000_, test_zfkd_2.txt, 3, 1, 0, 0, 0, 0, 0.0011333333333333334, 4.677268475210477E-4, 0.001652892561983471
