Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2
2023-11-21 15:34:51.111, zfkd_, 20000, 0.0, 2, -1, -1, -1, -1, -1, 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:51.145, zfkd_, 20000, 0.0, 3, -1, -1, -1, -1, -1, 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:51.167, zfkd_, 20000, 0.0, 4, -1, -1, -1, -1, -1, 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:51.546, zfkd_, 50000, 0.0, 0, -1, -1, -1, -1, -1, 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:51.615, zfkd_, 50000, 0.0, 1, -1, -1, -1, -1, -1, 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:51.659, zfkd_, 50000, 0.0, 2, -1, -1, -1, -1, -1, 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:51.716, zfkd_, 50000, 0.0, 3, -1, -1, -1, -1, -1, 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:51.8, zfkd_, 50000, 0.0, 4, -1, -1, -1, -1, -1, 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:52.544, zfkd_, 75000, 0.0, 0, -1, -1, -1, -1, -1, 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:52.615, zfkd_, 75000, 0.0, 1, -1, -1, -1, -1, -1, 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:52.663, zfkd_, 75000, 0.0, 2, -1, -1, -1, -1, -1, 0.00124, 4.833252779120348E-4, 0.043478260869565216, 806, 2069, 93, 75000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
